IDP_type	IDP	model_name	Spearman	Pearson	R2	is_kept
dMRI	IDP-25484	ridge	0.044891357795518	0.0471553145012738	0.0021822862405575	FALSE
dMRI	IDP-25485	ridge	0.0213570879439369	0.0225152788834784	0.000489358285309938	FALSE
dMRI	IDP-25486	ridge	0.104468433540251	0.102856478571162	0.0104449519273957	TRUE
dMRI	IDP-25487	ridge	0.0971396622487289	0.0981191285184922	0.00939934145932331	FALSE
dMRI	IDP-25488	ridge	0.0871799732054968	0.0895023889989965	0.00779968137266751	FALSE
dMRI	IDP-25489	ridge	0.0843654250766382	0.0845122762848474	0.00699644670712007	FALSE
dMRI	IDP-25490	ridge	0.121804268216838	0.126672238796244	0.015887996899924	TRUE
dMRI	IDP-25491	ridge	0.116135707228974	0.120610092475399	0.0145085373603047	TRUE
dMRI	IDP-25492	ridge	0.0774095705667581	0.0787631574077795	0.00617379764011472	FALSE
dMRI	IDP-25493	ridge	0.113675787113289	0.115089812553375	0.0132455263503136	TRUE
dMRI	IDP-25494	ridge	0.0717851915898359	0.0708357260011404	0.00501040988687229	FALSE
dMRI	IDP-25495	ridge	0.0941879009454798	0.0923479322464727	0.00836829639598191	FALSE
dMRI	IDP-25496	ridge	0.0604530882113306	0.0625813425798949	0.00389857726278242	FALSE
dMRI	IDP-25497	ridge	0.0528008014624934	0.0561831284829687	0.00315148003000942	FALSE
dMRI	IDP-25498	ridge	0.130080562347004	0.132412675445854	0.0172061200770973	TRUE
dMRI	IDP-25499	ridge	0.149830285370073	0.156557946892399	0.0245035352933071	TRUE
dMRI	IDP-25500	ridge	0.105610703988595	0.110903417641474	0.0122902647904846	TRUE
dMRI	IDP-25501	ridge	0.112655814924181	0.11600456481237	0.0134546405535557	TRUE
dMRI	IDP-25502	ridge	0.116658985602524	0.116528655588057	0.0135753867520043	TRUE
dMRI	IDP-25503	ridge	0.132544351343921	0.130143809178135	0.0168857299690057	TRUE
dMRI	IDP-25504	ridge	0.0527468806178598	0.051172998088849	0.00255246607683945	FALSE
dMRI	IDP-25505	ridge	0.0720706623131702	0.0723943782811263	0.00508987066379407	FALSE
dMRI	IDP-25506	ridge	0.0705263790981157	0.0661509089949664	0.00433122876774994	FALSE
dMRI	IDP-25507	ridge	0.078713622930879	0.0783013811453265	0.00610354034259719	FALSE
dMRI	IDP-25508	ridge	0.0790843059605856	0.0767541183836062	0.00551832886948234	FALSE
dMRI	IDP-25509	ridge	0.147045825075989	0.155884087256177	0.0242494455715032	TRUE
