ukb_field	n2018_id
25132	IDP_dMRI_TBSS_MD_Posterior_thalamic_radiation_R
25133	IDP_dMRI_TBSS_MD_Posterior_thalamic_radiation_L
25134	IDP_dMRI_TBSS_MD_Sagittal_stratum_R
25135	IDP_dMRI_TBSS_MD_Sagittal_stratum_L
25136	IDP_dMRI_TBSS_MD_External_capsule_R
25137	IDP_dMRI_TBSS_MD_External_capsule_L
25138	IDP_dMRI_TBSS_MD_Cingulum_cingulate_gyrus_R
25139	IDP_dMRI_TBSS_MD_Cingulum_cingulate_gyrus_L
25140	IDP_dMRI_TBSS_MD_Cingulum_hippocampus_R
25141	IDP_dMRI_TBSS_MD_Cingulum_hippocampus_L
25142	IDP_dMRI_TBSS_MD_Fornix_cres+Stria_terminalis_R
25143	IDP_dMRI_TBSS_MD_Fornix_cres+Stria_terminalis_L
25144	IDP_dMRI_TBSS_MD_Superior_longitudinal_fasciculus_R
25145	IDP_dMRI_TBSS_MD_Superior_longitudinal_fasciculus_L
25146	IDP_dMRI_TBSS_MD_Superior_fronto-occipital_fasciculus_R
25147	IDP_dMRI_TBSS_MD_Superior_fronto-occipital_fasciculus_L
25148	IDP_dMRI_TBSS_MD_Uncinate_fasciculus_R
25149	IDP_dMRI_TBSS_MD_Uncinate_fasciculus_L
25150	IDP_dMRI_TBSS_MD_Tapetum_R
25151	IDP_dMRI_TBSS_MD_Tapetum_L
25152	IDP_dMRI_TBSS_MO_Middle_cerebellar_peduncle
25153	IDP_dMRI_TBSS_MO_Pontine_crossing_tract
25154	IDP_dMRI_TBSS_MO_Genu_of_corpus_callosum
25155	IDP_dMRI_TBSS_MO_Body_of_corpus_callosum
25156	IDP_dMRI_TBSS_MO_Splenium_of_corpus_callosum
25157	IDP_dMRI_TBSS_MO_Fornix
25158	IDP_dMRI_TBSS_MO_Corticospinal_tract_R
25159	IDP_dMRI_TBSS_MO_Corticospinal_tract_L
25160	IDP_dMRI_TBSS_MO_Medial_lemniscus_R
25161	IDP_dMRI_TBSS_MO_Medial_lemniscus_L
25162	IDP_dMRI_TBSS_MO_Inferior_cerebellar_peduncle_R
25163	IDP_dMRI_TBSS_MO_Inferior_cerebellar_peduncle_L
25164	IDP_dMRI_TBSS_MO_Superior_cerebellar_peduncle_R
25165	IDP_dMRI_TBSS_MO_Superior_cerebellar_peduncle_L
25166	IDP_dMRI_TBSS_MO_Cerebral_peduncle_R
25167	IDP_dMRI_TBSS_MO_Cerebral_peduncle_L
25168	IDP_dMRI_TBSS_MO_Anterior_limb_of_internal_capsule_R
25169	IDP_dMRI_TBSS_MO_Anterior_limb_of_internal_capsule_L
25170	IDP_dMRI_TBSS_MO_Posterior_limb_of_internal_capsule_R
25171	IDP_dMRI_TBSS_MO_Posterior_limb_of_internal_capsule_L
25172	IDP_dMRI_TBSS_MO_Retrolenticular_part_of_internal_capsule_R
25173	IDP_dMRI_TBSS_MO_Retrolenticular_part_of_internal_capsule_L
25174	IDP_dMRI_TBSS_MO_Anterior_corona_radiata_R
25175	IDP_dMRI_TBSS_MO_Anterior_corona_radiata_L
25176	IDP_dMRI_TBSS_MO_Superior_corona_radiata_R
25177	IDP_dMRI_TBSS_MO_Superior_corona_radiata_L
25178	IDP_dMRI_TBSS_MO_Posterior_corona_radiata_R
25179	IDP_dMRI_TBSS_MO_Posterior_corona_radiata_L
25180	IDP_dMRI_TBSS_MO_Posterior_thalamic_radiation_R
25181	IDP_dMRI_TBSS_MO_Posterior_thalamic_radiation_L
25182	IDP_dMRI_TBSS_MO_Sagittal_stratum_R
25183	IDP_dMRI_TBSS_MO_Sagittal_stratum_L
25184	IDP_dMRI_TBSS_MO_External_capsule_R
25185	IDP_dMRI_TBSS_MO_External_capsule_L
25186	IDP_dMRI_TBSS_MO_Cingulum_cingulate_gyrus_R
25187	IDP_dMRI_TBSS_MO_Cingulum_cingulate_gyrus_L
25188	IDP_dMRI_TBSS_MO_Cingulum_hippocampus_R
25189	IDP_dMRI_TBSS_MO_Cingulum_hippocampus_L
25190	IDP_dMRI_TBSS_MO_Fornix_cres+Stria_terminalis_R
25191	IDP_dMRI_TBSS_MO_Fornix_cres+Stria_terminalis_L
25192	IDP_dMRI_TBSS_MO_Superior_longitudinal_fasciculus_R
25193	IDP_dMRI_TBSS_MO_Superior_longitudinal_fasciculus_L
25194	IDP_dMRI_TBSS_MO_Superior_fronto-occipital_fasciculus_R
25195	IDP_dMRI_TBSS_MO_Superior_fronto-occipital_fasciculus_L
25196	IDP_dMRI_TBSS_MO_Uncinate_fasciculus_R
25197	IDP_dMRI_TBSS_MO_Uncinate_fasciculus_L
25198	IDP_dMRI_TBSS_MO_Tapetum_R
